Date,"(Average Price)
Rs./1000","Rainfall mm 
Kurunagala","Rainfall mm
Puththalam","Rainfall mm
Colombo",,"(Average Price)
Not rounded"
28/02/2018,"48,000",14.7,37.7,108.8,,"48,000"
07/03/2018,"48,000",148,13.4,68.8,,"48,000"
14/03/2018,"48,000",148,13.4,68.8,,"48,000"
21/03/2018,"46,000",148,13.4,68.8,,"46,000"
28/03/2018,"46,000",148,13.4,68.8,,"46,000"
07/04/2018,"44,000",178.9,290.2,265,,"44,000"
14/04/2018,"44,000",178.9,290.2,265,,"44,000"
21/04/2018,"44,000",178.9,290.2,265,,"44,000"
28/04/2018,"44,000",178.9,290.2,265,,"44,000"
07/05/2018,"42,000",652.5,390,421.7,,"42,000"
14/05/2018,"42,000",652.5,390,421.7,,"42,000"
21/05/2018,"42,000",652.5,390,421.7,,"42,000"
28/05/2018,"42,000",652.5,390,421.7,,"42,000"
07/06/2018,"42,000",159.6,56.7,155.8,,"42,000"
14/06/2018,"40,000",159.6,56.7,155.8,,"40,000"
21/06/2018,"40,000",159.6,56.7,155.8,,"40,000"
28/06/2018,"40,000",159.6,56.7,155.8,,"40,000"
07/07/2018,"40,000",44.6,1.1,68.9,,"40,000"
14/07/2018,"40,000",44.6,1.1,68.9,,"40,000"
21/07/2018,"40,000",44.6,1.1,68.9,,"40,000"
28/07/2018,"40,000",44.6,1.1,68.9,,"40,000"
07/08/2018,"38,000",70.7,0,63.9,,"38,000"
14/08/2018,"38,000",70.7,0,63.9,,"38,000"
21/08/2018,"38,000",70.7,0,63.9,,"38,000"
28/08/2018,"36,000",70.7,0,63.9,,"36,000"
07/09/2018,"38,000",121,17.6,263.7,,"38,000"
14/09/2018,"38,000",121,17.6,263.7,,"38,000"
21/09/2018,"40,000",121,17.6,263.7,,"40,000"
28/09/2018,"40,000",121,17.6,263.7,,"40,000"
07/10/2018,"39,000",471.2,320.8,539.7,,"39,000"
14/10/2018,"39,000",471.2,320.8,539.7,,"39,000"
21/10/2018,"37,000",471.2,320.8,539.7,,"37,000"
28/10/2018,"37,000",471.2,320.8,539.7,,"37,000"
07/11/2018,"37,000",350.4,205.5,420.7,,"37,000"
14/11/2018,"37,000",350.4,205.5,420.7,,"37,000"
21/11/2018,"37,000",350.4,205.5,420.7,,"37,000"
28/11/2018,"37,000",350.4,205.5,420.7,,"37,000"
07/12/2018,"36,000",99.4,74.4,139.5,,"36,000"
14/12/2018,"36,000",99.4,74.4,139.5,,"36,000"
21/12/2018,"36,000",99.4,74.4,139.5,,"36,000"
28/12/2018,"36,000",99.4,74.4,139.5,,"36,000"
